CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
1NE POUCH LTD,15325295,,,HOLLAND HALL - A9-11,CLYDESDALE ROAD,EXETER,DEVON,UNITED KINGDOM,EX4 4SA,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47710 - Retail sale of clothing in specialised stores,56301 - Licensed clubs,86900 - Other human health activities,,0,0,http://business.data.gov.uk/id/company/15325295,,,,,,,,,,,,,,,,,,,,,17/12/2024,
2 LAVINIA WAY (WEMBDON GRANGE) RTM COMPANY LIMITED,15325492,,,3RD FLOOR SUITE,207 REGENT STREET,LONDON,,ENGLAND,W1B3HH,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/15325492,,,,,,,,,,,,,,,,,,,,,17/12/2024,
25-32 DUFFRYN MANAGEMENT COMPANY LIMITED,15326066,,,30 DULWICH GRANGE,BRATTON,TELFORD,,ENGLAND,TF5 0EB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/15326066,,,,,,,,,,,,,,,,,,,,,17/12/2024,
3 LITTLE PEAS LIMITED,15325780,,,9 HIGH STREET,,CONGLETON,CHESHIRE,UNITED KINGDOM,CW12 1BN,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325780,,,,,,,,,,,,,,,,,,,,,17/12/2024,
456 CLEANING AND MAINTENANCE LTD,15325839,,,UNIT 82A JAMES CARTER ROAD,MILDENHALL,BURY ST. EDMUNDS,,ENGLAND,IP28 7DE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,81210 - General cleaning of buildings,,,,0,0,http://business.data.gov.uk/id/company/15325839,,,,,,,,,,,,,,,,,,,,,17/12/2024,
A & K DENTON LIMITED,15325734,,,10 TOWN LANE,DENTON,MANCHESTER,,ENGLAND,M34 6LE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,56103 - Take-away food shops and mobile food stands,,,,0,0,http://business.data.gov.uk/id/company/15325734,,,,,,,,,,,,,,,,,,,,,17/12/2024,
A PLACE 4U GURU LTD,15325853,,,20 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15325853,,,,,,,,,,,,,,,,,,,,,17/12/2024,
A&S TUNING AND AUTO SERVICING LIMITED,15325970,,,2 LIONEL STREET,,BURNLEY,,ENGLAND,BB12 6RA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/15325970,,,,,,,,,,,,,,,,,,,,,17/12/2024,
A-CHECK AVIATION LTD,15325752,,,124 CITY ROAD,,LONDON,,UNITED KINGDOM,EC1V 2NX,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/15325752,,,,,,,,,,,,,,,,,,,,,17/12/2024,
AAH DISTRIBUTION LTD,15325776,,,109 AUDLEY STREET,,READING,READING,ENGLAND,RG30 1BS,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,47910 - Retail sale via mail order houses or via Internet,,,,0,0,http://business.data.gov.uk/id/company/15325776,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ABORROB GROUP LTD,15325665,,,167-169 GREAT PORTLAND STREET,5TH FLOOR,LONDON,,ENGLAND,W1W 5PF,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15325665,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ABR CONSULT LTD,15325517,,,"3RD FLOOR, 86-90",PAUL STREET,LONDON,ENGLAND,UNITED KINGDOM,EC2A 4NE,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/15325517,,,,,,,,,,,,,,,,,,,,,17/12/2024,
AC MEAT AND FINISH LTD,15326014,,,29 NEW BROADWAY,KAMBOJ ASSOCIATES,HILLINGDON,,UNITED KINGDOM,UB10 0LL,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,46320 - Wholesale of meat and meat products,,,,0,0,http://business.data.gov.uk/id/company/15326014,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ACRE 1 LIMITED,15326100,,,"THE GRANARY, HERMITAGE COURT",HERMITAGE LANE,MAIDSTONE,,UNITED KINGDOM,ME16 9NT,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/15326100,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ACRE 2 LIMITED,15326099,,,"THE GRANARY, HERMITAGE COURT",HERMITAGE LANE,MAIDSTONE,,UNITED KINGDOM,ME16 9NT,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/15326099,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ACS RENTAL PROPERTY LTD,15325540,,,28 MARSDEN AVENUE,,ST. HELENS,,ENGLAND,WA10 4JJ,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15325540,,,,,,,,,,,,,,,,,,,,,17/12/2024,
ACT COUNSELLING AND TRAINING SERVICES LTD,SC791279,,,210 GLASGOW ROAD,RUTHERGLEN,GLASGOW,,SCOTLAND,G73 1SA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/SC791279,,,,,,,,,,,,,,,,,,,,,17/12/2024,
AD CARE HOMES LIMITED,15325954,,,34 BENSON CLOSE,,LUTON,,ENGLAND,LU3 3QP,Private Limited Company,Active,United Kingdom,,2023-12-04,31.0,12.0,04/09/2025,,NO ACCOUNTS FILED,01/01/2025,,0,0,0,0,87100 - Residential nursing care facilities,,,,0,0,http://business.data.gov.uk/id/company/15325954,,,,,,,,,,,,,,,,,,,,,17/12/2024,
